time,open,high,low,close,volume
2019-02-14 17:14:00,110.714,110.726,110.708,110.721,109.0
2019-02-14 17:15:00,110.722,110.757,110.719,110.757,129.0
2019-02-14 17:16:00,110.759,110.764,110.747,110.753,137.0
2019-02-14 17:17:00,110.753,110.758,110.747,110.754,113.0
2019-02-14 17:18:00,110.754,110.767,110.747,110.758,106.0
2019-02-14 17:19:00,110.759,110.771,110.753,110.758,115.0
2019-02-14 17:20:00,110.757,110.758,110.733,110.733,115.0
2019-02-14 17:21:00,110.733,110.739,110.721,110.722,110.0
2019-02-14 17:22:00,110.721,110.722,110.702,110.721,135.0
2019-02-14 17:23:00,110.722,110.729,110.715,110.716,123.0
2019-02-14 17:24:00,110.716,110.719,110.715,110.719,86.0
2019-02-14 17:25:00,110.718,110.73,110.715,110.722,93.0
2019-02-14 17:26:00,110.722,110.722,110.701,110.701,91.0
2019-02-14 17:27:00,110.702,110.703,110.689,110.695,101.0
2019-02-14 17:28:00,110.696,110.707,110.695,110.706,106.0
2019-02-14 17:29:00,110.707,110.72,110.703,110.72,106.0
2019-02-14 17:30:00,110.719,110.737,110.715,110.725,113.0
2019-02-14 17:31:00,110.724,110.746,110.722,110.739,105.0
2019-02-14 17:32:00,110.74,110.745,110.734,110.74,102.0
2019-02-14 17:33:00,110.743,110.746,110.735,110.735,83.0
2019-02-14 17:34:00,110.737,110.743,110.732,110.738,98.0
2019-02-14 17:35:00,110.737,110.742,110.735,110.74,89.0
2019-02-14 17:36:00,110.74,110.758,110.737,110.758,90.0
2019-02-14 17:37:00,110.758,110.766,110.592,110.649,177.0
2019-02-14 17:38:00,110.649,110.691,110.62,110.666,245.0
2019-02-14 17:39:00,110.669,110.716,110.656,110.715,219.0
2019-02-14 17:40:00,110.715,110.75,110.708,110.726,190.0
2019-02-14 17:41:00,110.727,110.74,110.719,110.727,184.0
2019-02-14 17:42:00,110.728,110.792,110.727,110.764,181.0
2019-02-14 17:43:00,110.768,110.79,110.765,110.765,147.0
2019-02-14 17:44:00,110.765,110.768,110.753,110.756,170.0
2019-02-14 17:45:00,110.757,110.768,110.749,110.758,158.0
2019-02-14 17:46:00,110.758,110.797,110.758,110.781,165.0
2019-02-14 17:47:00,110.781,110.81,110.781,110.797,156.0
2019-02-14 17:48:00,110.797,110.797,110.77,110.771,158.0
2019-02-14 17:49:00,110.771,110.775,110.758,110.771,153.0
2019-02-14 17:50:00,110.77,110.772,110.733,110.742,162.0
2019-02-14 17:51:00,110.742,110.742,110.723,110.725,141.0
2019-02-14 17:52:00,110.726,110.748,110.704,110.738,181.0
2019-02-14 17:53:00,110.739,110.757,110.739,110.755,168.0
2019-02-14 17:54:00,110.755,110.757,110.72,110.72,156.0
2019-02-14 17:55:00,110.721,110.725,110.697,110.7,125.0
2019-02-14 17:56:00,110.697,110.737,110.693,110.734,141.0
2019-02-14 17:57:00,110.733,110.751,110.706,110.706,179.0
2019-02-14 17:58:00,110.706,110.723,110.696,110.702,169.0
2019-02-14 17:59:00,110.702,110.71,110.684,110.692,160.0
2019-02-14 18:00:00,110.692,110.707,110.686,110.694,166.0
2019-02-14 18:01:00,110.694,110.703,110.677,110.677,156.0
2019-02-14 18:02:00,110.677,110.681,110.654,110.655,153.0
2019-02-14 18:03:00,110.654,110.673,110.642,110.648,143.0
2019-02-14 18:04:00,110.651,110.666,110.649,110.663,120.0
2019-02-14 18:05:00,110.663,110.67,110.658,110.663,113.0
2019-02-14 18:06:00,110.664,110.697,110.663,110.691,114.0
2019-02-14 18:07:00,110.691,110.699,110.677,110.696,116.0
2019-02-14 18:08:00,110.696,110.717,110.695,110.704,125.0
2019-02-14 18:09:00,110.704,110.708,110.696,110.707,105.0
2019-02-14 18:10:00,110.707,110.731,110.707,110.725,125.0
2019-02-14 18:11:00,110.726,110.734,110.711,110.711,142.0
2019-02-14 18:12:00,110.71,110.711,110.693,110.697,122.0
2019-02-14 18:13:00,110.696,110.703,110.691,110.693,114.0
2019-02-14 18:14:00,110.693,110.706,110.672,110.681,130.0
2019-02-14 18:15:00,110.681,110.71,110.679,110.699,129.0
2019-02-14 18:16:00,110.696,110.706,110.692,110.697,109.0
2019-02-14 18:17:00,110.695,110.7,110.681,110.7,109.0
2019-02-14 18:18:00,110.703,110.704,110.691,110.696,109.0
2019-02-14 18:19:00,110.696,110.7,110.691,110.698,95.0
2019-02-14 18:20:00,110.698,110.705,110.695,110.696,104.0
2019-02-14 18:21:00,110.696,110.724,110.692,110.724,96.0
2019-02-14 18:22:00,110.724,110.726,110.713,110.719,107.0
2019-02-14 18:23:00,110.719,110.719,110.698,110.699,100.0
2019-02-14 18:24:00,110.7,110.72,110.7,110.719,111.0
2019-02-14 18:25:00,110.719,110.72,110.706,110.718,108.0
2019-02-14 18:26:00,110.718,110.718,110.707,110.708,85.0
2019-02-14 18:27:00,110.708,110.712,110.695,110.702,116.0
2019-02-14 18:28:00,110.703,110.708,110.693,110.705,98.0
2019-02-14 18:29:00,110.705,110.71,110.7,110.707,99.0
2019-02-14 18:30:00,110.707,110.707,110.686,110.688,117.0
2019-02-14 18:31:00,110.687,110.7,110.681,110.695,123.0
2019-02-14 18:32:00,110.692,110.694,110.682,110.688,111.0
2019-02-14 18:33:00,110.689,110.689,110.671,110.676,99.0
2019-02-14 18:34:00,110.676,110.682,110.67,110.682,96.0
2019-02-14 18:35:00,110.684,110.694,110.681,110.687,102.0
2019-02-14 18:36:00,110.688,110.689,110.68,110.68,109.0
2019-02-14 18:37:00,110.68,110.683,110.662,110.67,90.0
2019-02-14 18:38:00,110.672,110.679,110.669,110.676,84.0
2019-02-14 18:39:00,110.676,110.682,110.673,110.676,98.0
2019-02-14 18:40:00,110.677,110.685,110.672,110.682,131.0
2019-02-14 18:41:00,110.683,110.686,110.678,110.678,97.0
2019-02-14 18:42:00,110.678,110.688,110.678,110.686,90.0
2019-02-14 18:43:00,110.686,110.688,110.686,110.686,67.0
2019-02-14 18:44:00,110.686,110.689,110.685,110.687,73.0
2019-02-14 18:45:00,110.686,110.688,110.683,110.686,102.0
2019-02-14 18:46:00,110.686,110.695,110.686,110.687,89.0
2019-02-14 18:47:00,110.688,110.688,110.686,110.687,84.0
2019-02-14 18:48:00,110.687,110.688,110.684,110.686,70.0
2019-02-14 18:49:00,110.687,110.694,110.682,110.693,83.0
2019-02-14 18:50:00,110.693,110.702,110.675,110.675,94.0
2019-02-14 18:51:00,110.675,110.682,110.675,110.679,81.0
2019-02-14 18:52:00,110.679,110.682,110.674,110.682,100.0
2019-02-14 18:53:00,110.682,110.69,110.682,110.69,106.0
2019-02-14 18:54:00,110.689,110.694,110.687,110.687,107.0
2019-02-14 18:55:00,110.688,110.688,110.683,110.687,77.0
2019-02-14 18:56:00,110.688,110.691,110.669,110.671,96.0
2019-02-14 18:57:00,110.671,110.671,110.663,110.67,80.0
2019-02-14 18:58:00,110.67,110.681,110.67,110.68,79.0
2019-02-14 18:59:00,110.678,110.678,110.664,110.673,85.0
2019-02-14 19:00:00,110.673,110.675,110.666,110.669,82.0
2019-02-14 19:01:00,110.672,110.679,110.667,110.67,96.0
2019-02-14 19:02:00,110.67,110.673,110.665,110.672,79.0
2019-02-14 19:03:00,110.67,110.682,110.665,110.682,77.0
2019-02-14 19:04:00,110.682,110.685,110.675,110.682,96.0
2019-02-14 19:05:00,110.682,110.682,110.661,110.662,83.0
2019-02-14 19:06:00,110.662,110.688,110.661,110.688,93.0
2019-02-14 19:07:00,110.687,110.693,110.676,110.692,92.0
2019-02-14 19:08:00,110.691,110.698,110.688,110.688,96.0
2019-02-14 19:09:00,110.687,110.693,110.68,110.687,84.0
2019-02-14 19:10:00,110.687,110.688,110.671,110.672,87.0
2019-02-14 19:11:00,110.672,110.672,110.661,110.668,90.0
2019-02-14 19:12:00,110.667,110.669,110.654,110.655,97.0
2019-02-14 19:13:00,110.655,110.661,110.647,110.654,85.0
2019-02-14 19:14:00,110.654,110.668,110.653,110.667,77.0
2019-02-14 19:15:00,110.667,110.668,110.653,110.655,84.0
2019-02-14 19:16:00,110.656,110.664,110.655,110.662,74.0
2019-02-14 19:17:00,110.662,110.664,110.654,110.654,84.0
2019-02-14 19:18:00,110.653,110.656,110.647,110.656,83.0
